ID,Recency,Frequency,Monetary,Age,Age Group,Country,R,F,M,RFMGroup,RFMScore,RFM_loyalty_level,Clusters
0,66,12,803,37,Millennials,SA,3,2,2,322,7,Gold,1
1,0,14,533,61,Baby Boomers,CA,1,2,2,122,5,Platinum,2
9,86,5,84,47,Gen X,CA,4,4,3,443,11,Bronze,3
13,57,4,24,75,Baby Boomers,SA,3,4,4,344,11,Bronze,3
17,81,13,921,51,Gen X,SP,4,2,1,421,7,Gold,1
20,91,6,78,57,Baby Boomers,GER,4,3,3,433,10,Bronze,3
22,99,11,275,46,Gen X,SP,4,2,3,423,9,Silver,3
24,96,7,39,62,Baby Boomers,SA,4,3,4,434,11,Bronze,3
25,9,13,917,64,Baby Boomers,CA,1,2,1,121,4,Platinum,2
35,35,5,97,35,Millennials,SP,2,4,3,243,9,Silver,0
48,97,7,149,58,Baby Boomers,SP,4,3,3,433,10,Bronze,3
49,39,3,11,52,Gen X,CA,2,4,4,244,10,Bronze,0
55,83,16,574,59,Baby Boomers,SP,4,1,2,412,7,Gold,1
67,6,6,84,50,Gen X,SP,1,3,3,133,7,Gold,0
73,81,3,17,69,Baby Boomers,IND,4,4,4,444,12,Bronze,3
75,32,13,182,40,Millennials,US,2,2,3,223,7,Gold,0
78,51,3,26,53,Gen X,SP,3,4,4,344,11,Bronze,3
87,16,5,12,41,Gen X,GER,1,4,4,144,9,Silver,0
89,49,6,34,47,Gen X,SA,2,3,4,234,9,Silver,0
113,33,4,18,71,Baby Boomers,SP,2,4,4,244,10,Bronze,0
115,0,13,354,56,Gen X,IND,1,2,2,122,5,Platinum,2
123,92,8,712,71,Baby Boomers,AUS,4,3,2,432,9,Silver,3
125,65,10,255,64,Baby Boomers,IND,3,3,3,333,9,Silver,3
143,73,9,690,52,Gen X,US,3,3,2,332,8,Silver,1
146,78,15,1213,62,Baby Boomers,SP,4,1,1,411,6,Platinum,1
153,29,4,28,69,Baby Boomers,SP,2,4,4,244,10,Bronze,0
158,3,13,926,77,Pre Boomers,SP,1,2,1,121,4,Platinum,2
164,59,10,252,45,Gen X,SP,3,3,3,333,9,Silver,3
175,93,16,1191,36,Millennials,SP,4,1,1,411,6,Platinum,1
176,73,10,195,42,Gen X,SP,3,3,3,333,9,Silver,3
178,40,19,671,66,Baby Boomers,SP,2,1,2,212,5,Platinum,2
182,62,11,339,76,Pre Boomers,SP,3,2,2,322,7,Gold,3
193,81,3,2,26,Millennials,SP,4,4,4,444,12,Bronze,3
194,55,4,34,57,Baby Boomers,SP,3,4,4,344,11,Bronze,3
195,21,9,194,50,Gen X,SP,1,3,3,133,7,Gold,0
199,33,11,282,60,Baby Boomers,CA,2,2,3,223,7,Gold,0
202,54,11,903,74,Baby Boomers,IND,3,2,1,321,6,Platinum,1
203,47,14,1921,47,Gen X,SP,2,2,1,221,5,Platinum,1
213,98,5,46,59,Baby Boomers,SP,4,4,3,443,11,Bronze,3
217,78,17,1287,66,Baby Boomers,CA,4,1,1,411,6,Platinum,1
221,90,7,179,67,Baby Boomers,GER,4,3,3,433,10,Bronze,3
231,86,5,31,66,Baby Boomers,SP,4,4,4,444,12,Bronze,3
232,8,14,450,57,Baby Boomers,SP,1,2,2,122,5,Platinum,2
234,60,3,11,43,Gen X,SP,3,4,4,344,11,Bronze,3
236,62,6,80,71,Baby Boomers,CA,3,3,3,333,9,Silver,3
238,76,18,743,55,Gen X,SP,4,1,2,412,7,Gold,1
241,57,15,1277,70,Baby Boomers,SP,3,1,1,311,5,Platinum,1
246,71,11,265,57,Baby Boomers,SP,3,2,3,323,8,Silver,3
247,16,11,307,51,Gen X,SP,1,2,2,122,5,Platinum,0
252,11,14,398,59,Baby Boomers,SA,1,2,2,122,5,Platinum,2
254,4,14,433,67,Baby Boomers,SP,1,2,2,122,5,Platinum,2
255,31,4,19,71,Baby Boomers,SP,2,4,4,244,10,Bronze,0
257,74,14,1144,63,Baby Boomers,SP,3,2,1,321,6,Platinum,1
263,9,6,104,77,Pre Boomers,SP,1,3,3,133,7,Gold,0
269,71,11,970,59,Baby Boomers,SP,3,2,1,321,6,Platinum,1
271,30,6,204,53,Gen X,CA,2,3,3,233,8,Silver,0
273,48,7,146,52,Gen X,GER,2,3,3,233,8,Silver,0
274,75,5,27,49,Gen X,GER,4,4,4,444,12,Bronze,3
286,48,7,141,70,Baby Boomers,SP,2,3,3,233,8,Silver,0
291,13,9,554,52,Gen X,SA,1,3,2,132,6,Platinum,0
295,77,14,887,33,Millennials,SP,4,2,1,421,7,Gold,1
304,67,6,41,41,Gen X,SP,3,3,4,334,10,Bronze,3
309,48,13,1057,61,Baby Boomers,SA,2,2,1,221,5,Platinum,1
310,81,13,494,52,Gen X,CA,4,2,2,422,8,Silver,1
313,98,16,1719,54,Gen X,SA,4,1,1,411,6,Platinum,1
322,93,5,41,44,Gen X,AUS,4,4,4,444,12,Bronze,3
326,38,11,286,49,Gen X,IND,2,2,3,223,7,Gold,0
332,56,10,243,65,Baby Boomers,SP,3,3,3,333,9,Silver,3
339,82,14,486,50,Gen X,SP,4,2,2,422,8,Silver,1
